Position,Expression
0,0.0296911
0.010101,0.0974622
0.020202,0.13223
0.030303,0.15292
0.040404,0.165155
0.0505051,0.175587
0.0606061,0.178557
0.0707071,0.179259
0.0808081,0.180151
0.0909091,0.183149
0.10101,0.180064
0.111111,0.176048
0.121212,0.17123
0.131313,0.168048
0.141414,0.164765
0.151515,0.165086
0.161616,0.166575
0.171717,0.165922
0.181818,0.167746
0.191919,0.168401
0.20202,0.168139
0.212121,0.170218
0.222222,0.169539
0.232323,0.172727
0.242424,0.174605
0.252525,0.176791
0.262626,0.177724
0.272727,0.178773
0.282828,0.177823
0.292929,0.183325
0.30303,0.186865
0.313131,0.18942
0.323232,0.192026
0.333333,0.195572
0.343434,0.19711
0.353535,0.198126
0.363636,0.202101
0.373737,0.20555
0.383838,0.209237
0.393939,0.212152
0.40404,0.215762
0.414141,0.220632
0.424242,0.223514
0.434343,0.226401
0.444444,0.230474
0.454545,0.235396
0.464646,0.238926
0.474747,0.242898
0.484848,0.246063
0.494949,0.251261
0.505051,0.254815
0.515152,0.257114
0.525253,0.263496
0.535354,0.265983
0.545455,0.26875
0.555556,0.272981
0.565657,0.275785
0.575758,0.281678
0.585859,0.289015
0.59596,0.295182
0.606061,0.301917
0.616162,0.311664
0.626263,0.322211
0.636364,0.33228
0.646465,0.33929
0.656566,0.346256
0.666667,0.35722
0.676768,0.368813
0.686869,0.378093
0.69697,0.388474
0.707071,0.399967
0.717172,0.408272
0.727273,0.41642
0.737374,0.423662
0.747475,0.433117
0.757576,0.444817
0.767677,0.459026
0.777778,0.46737
0.787879,0.478377
0.79798,0.489715
0.808081,0.500177
0.818182,0.516079
0.828283,0.532344
0.838384,0.549257
0.848485,0.566627
0.858586,0.584992
0.868687,0.60614
0.878788,0.626202
0.888889,0.64412
0.89899,0.667597
0.909091,0.698783
0.919192,0.74429
0.929293,0.765735
0.939394,0.773892
0.949495,0.770194
0.959596,0.76609
0.969697,0.766706
0.979798,0.676045
0.989899,0.375857
1,2.65799e-07
